object_key,actual_label,predicted_labels,model_count,high_confidence_wrong_count,reason,risk_score_0_100,risk_category
20001685,0,"[0, 1]",3,0,model_family_disagreement,29.38408,moderate
20001864,0,"[0, 1]",3,0,model_family_disagreement,26.59629,moderate
20001865,0,"[0, 1]",3,0,model_family_disagreement,21.610866,moderate
20001981,1,"[0, 1]",3,0,model_family_disagreement,38.765796,moderate
20002062,0,"[0, 1]",3,0,model_family_disagreement,20.832218,moderate
20002063,0,"[0, 1]",3,0,model_family_disagreement,22.443671,moderate
20002100,0,"[0, 1]",3,0,model_family_disagreement,24.45369,moderate
20002102,1,"[0, 1]",3,0,model_family_disagreement,27.280756,moderate
20002135,1,"[0, 1]",3,0,model_family_disagreement,39.591235,moderate
20002212,0,"[0, 1]",3,1,model_family_disagreement,31.733197,moderate
20003122,1,"[0, 1]",3,0,model_family_disagreement,31.907738,moderate
20003360,0,"[0, 1]",3,0,model_family_disagreement,25.768132,moderate
20003554,0,"[0, 1]",3,0,model_family_disagreement,24.858528,moderate
20003671,1,"[0, 1]",3,0,model_family_disagreement,29.291898,moderate
20003753,0,"[0, 1]",3,0,model_family_disagreement,27.253852,moderate
20003757,1,"[0, 1]",3,0,model_family_disagreement,22.480774,moderate
20003838,0,"[0, 1]",3,0,model_family_disagreement,33.503982,moderate
20004015,1,"[0, 1]",3,0,model_family_disagreement,30.214913,moderate
20004179,1,"[0, 1]",3,0,model_family_disagreement,37.254117,moderate
20004197,0,"[0, 1]",3,0,model_family_disagreement,26.127483,moderate
20004341,0,"[0, 1]",3,0,model_family_disagreement,26.041338,moderate
20004544,0,"[0, 1]",3,0,model_family_disagreement,20.108516,moderate
20005143,0,"[0, 1]",3,0,model_family_disagreement,32.568767,moderate
20005590,0,"[0, 1]",3,0,model_family_disagreement,28.63645,moderate
20005645,0,"[0, 1]",3,0,model_family_disagreement,25.0592,moderate
20005660,0,"[0, 1]",3,0,model_family_disagreement,34.799252,moderate
20005731,0,"[0, 1]",3,0,model_family_disagreement,31.496119,moderate
20005786,0,"[0, 1]",3,0,model_family_disagreement,31.544658,moderate
20005828,0,"[0, 1]",3,0,model_family_disagreement,22.067829,moderate
20006063,0,"[0, 1]",3,0,model_family_disagreement,24.986447,moderate
20006491,1,"[0, 1]",3,0,model_family_disagreement,32.08753,moderate
20006611,0,"[0, 1]",3,0,model_family_disagreement,24.319139,moderate
20007092,0,"[0, 1]",3,0,model_family_disagreement,31.843263,moderate
20007335,1,"[0, 1]",3,0,model_family_disagreement,28.382504,moderate
20007350,0,"[0, 1]",3,0,model_family_disagreement,24.009733,moderate
20007482,1,"[0, 1]",3,0,model_family_disagreement,32.122062,moderate
20007822,1,"[0, 1]",3,0,model_family_disagreement,28.046243,moderate
20008035,0,"[0, 1]",3,0,model_family_disagreement,28.976141,moderate
20008201,0,"[0, 1]",3,0,model_family_disagreement,25.045509,moderate
20008507,0,"[0, 1]",3,0,model_family_disagreement,29.167857,moderate
20008566,1,"[0, 1]",3,0,model_family_disagreement,29.379965,moderate
20009162,0,"[0, 1]",3,0,model_family_disagreement,22.953121,moderate
20010145,0,"[0, 1]",3,0,model_family_disagreement,32.395065,moderate
20010165,0,"[0, 1]",3,0,model_family_disagreement,18.748453,low
20010302,0,"[0, 1]",3,0,model_family_disagreement,25.738402,moderate
20012538,1,"[0, 1]",3,0,model_family_disagreement,27.866589,moderate
20012923,1,"[0, 1]",3,0,model_family_disagreement,29.5177,moderate
20014827,1,"[0, 1]",3,0,model_family_disagreement,26.698408,moderate
20016816,0,"[0, 1]",3,0,model_family_disagreement,30.061212,moderate
20016834,0,"[0, 1]",3,0,model_family_disagreement,23.24192,moderate
20017181,0,"[0, 1]",3,0,model_family_disagreement,32.532061,moderate
20017182,0,"[0, 1]",3,0,model_family_disagreement,25.21933,moderate
20017511,0,"[0, 1]",3,0,model_family_disagreement,28.838052,moderate
20020429,0,"[0, 1]",3,0,model_family_disagreement,31.272884,moderate
20022099,0,"[0, 1]",3,0,model_family_disagreement,17.054569,low
20022771,0,"[0, 1]",3,0,model_family_disagreement,32.380188,moderate
20023187,1,"[0, 1]",3,0,model_family_disagreement,39.958127,moderate
20024443,0,"[0, 1]",3,0,model_family_disagreement,33.065773,moderate
20026379,0,"[0, 1]",3,0,model_family_disagreement,30.179648,moderate
20027002,1,"[0, 1]",3,0,model_family_disagreement,37.925573,moderate
20030825,0,"[0, 1]",3,0,model_family_disagreement,35.127798,moderate
20030997,0,"[0, 1]",3,0,model_family_disagreement,29.846178,moderate
20031662,0,"[0, 1]",3,0,model_family_disagreement,28.732763,moderate
20035670,0,"[0, 1]",3,0,model_family_disagreement,29.830436,moderate
